Author,Title,Description,URL,Source,Image,Category,Language,Country,Published_at,bnb_predictions,svc_predictions
Suvashree Ghosh,Bitcoin’s ETF Hangover Saddles The Token With Its Worst Streak In A Month,bitcoin ’ s etf hangover saddles token worst streak month,https://www.ndtvprofit.com/crypto/bitcoin-btc-posts-worst-streak-in-a-month-on-spot-etf-hangover,Bloomberg | Latest And Live Business,,business,en,us,2024-01-15T01:41:44+00:00,0,0
Investing.com,MicroStrategy's Michael Saylor warns of AI-generated Bitcoin scam videos,microstrategys michael saylor warns aigenerated bitcoin scam videos,https://www.investing.com/news/cryptocurrency-news/microstrategys-michael-saylor-warns-of-aigenerated-bitcoin-scam-videos-93CH-3274094,Investing.com | Stock Market Quotes &amp; Financial News,https://i-invdn-com.investing.com/news/world_news_2_108x81.jpg,business,en,us,2024-01-14T12:14:34+00:00,0,0
,Crypto-tied stocks lead week's financial losers as bitcoin retreats from two-year high,cryptotied stocks lead weeks financial losers bitcoin retreats twoyear high,https://seekingalpha.com/news/4054865-crypto-tied-stocks-lead-weeks-financial-losers-as-bitcoin-retreats-from-two-year-high?utm_source=feed_news_all&utm_medium=referral&feed_item_type=news,Seeking Alpha,,business,en,us,2024-01-13T15:34:00+00:00,4,0
David Pan,"Bitcoin Drops Back Below $42,000 As ETF Optimism Evaporates",bitcoin drops back etf optimism evaporates,https://www.ndtvprofit.com/markets/bitcoin-extends-decline-with-etf-exuberance-beginning-to-fade,Bloomberg | Latest And Live Business,,business,en,us,2024-01-13T12:24:03+00:00,4,4
Investing.com,Bitcoin value drops 10% as market braces for volatility ahead of halving event,bitcoin value drops market braces volatility ahead halving event,https://www.investing.com/news/cryptocurrency-news/bitcoin-value-drops-10-as-market-braces-for-volatility-ahead-of-halving-event-93CH-3273882,Investing.com | Stock Market Quotes &amp; Financial News,https://i-invdn-com.investing.com/news/LYNXMPED9A0RJ-ORUBS_M.jpg,business,en,us,2024-01-13T00:22:29+00:00,4,0
Reuters,"Bitwise bitcoin ETF draws most inflows on first trading day, company says",bitwise bitcoin etf draws inflows first trading day company says,https://www.investing.com/news/stock-market-news/bitwise-bitcoin-etf-draws-most-inflows-on-first-trading-day-company-says-3273772,Investing.com | Stock Market Quotes &amp; Financial News,https://i-invdn-com.investing.com/trkd-images/LYNXMPEK0B0QD_L.jpg,business,en,us,2024-01-12T22:36:07+00:00,4,4
,Why did Robinhood stock go down today? Bitcoin extends drop,robinhood stock go today bitcoin extends drop,https://seekingalpha.com/news/4054816-why-did-robinhood-stock-go-down-today-bitcoin-extends-drop?utm_source=feed_news_all&utm_medium=referral&feed_item_type=news,Seeking Alpha,,business,en,us,2024-01-12T20:56:19+00:00,0,4
,UBS offers spot bitcoin ETFs to wealth management clients - report,ubs offers spot bitcoin etfs wealth management clients report,https://seekingalpha.com/news/4054796-ubs-offers-spot-bitcoin-etfs-to-wealth-management-clients-report?utm_source=feed_news_all&utm_medium=referral&feed_item_type=news,Seeking Alpha,,business,en,us,2024-01-12T19:07:40+00:00,4,4
Marco Quiroz-Gutierrez,"Gary Gensler says SEC decision to approve spot ETFs isn’t an endorsement: ‘Bitcoin, itself, we did not approve’",gensler said securities exchange commission may approved etfs but not endorse bitcoin,https://fortune.com/crypto/2024/01/12/gary-gensler-sec-spot-bitcoin-etf-approvals-cnbc-interview/,Fortune,https://content.fortune.com/wp-content/uploads/2024/01/GettyImages-1660138561-e1705078251111.jpg?w=2048,business,en,us,2024-01-12T17:15:54+00:00,4,4
,Is Coinbase Stock A Buy Right Now After SEC Approves Bitcoin ETFs?,coinbase stock buy right sec approves bitcoin etfs,https://www.investors.com/research/coinbase-coin-stock-buy-now/?src=A00220&yptr=yahoo,Yahoo | Business Finance,https://media.zenfs.com/en/ibd.com/3d0bc3021452ab694f5140c806295e8a,business,en,us,2024-01-12T16:52:40+00:00,4,4
U.Today,Key Reasons Why Bitcoin (BTC) Hashrate Hit Unprecedented Heights,key reasons bitcoin btc hashrate hit unprecedented heights,https://www.investing.com/news/cryptocurrency-news/key-reasons-why-bitcoin-btc-hashrate-hit-unprecedented-heights-3273629,Investing.com | Stock Market Quotes &amp; Financial News,https://i-invdn-com.investing.com/news/cedb56c793cebdd4180320ed33651e41_M.jpg,business,en,us,2024-01-12T15:30:24+00:00,4,4
The Canadian Press,Bitcoin ETF approvals both cause for caution and ‘watershed moment’: experts,toronto bitcoin trading around levels not seen nearly two years us regulator approved exchangetraded funds linked cryptocurrency prompting calls its new era digital money but also caution among investors approving etfs likes blackrock inc franklin templeton us,https://financialpost.com/pmn/business-pmn/bitcoin-etf-approvals-both-cause-for-caution-and-watershed-moment-experts,Financial Post | Canada Business News,,business,en,us,2024-01-12T15:27:25+00:00,0,4
Reuters,CoinShares to acquire Valkyrie Funds after US spot bitcoin ETF approval,coinshares acquire valkyrie funds us spot bitcoin etf approval,https://www.investing.com/news/stock-market-news/coinshares-to-acquire-valkyrie-funds-after-us-spot-bitcoin-etf-approval-3273612,Investing.com | Stock Market Quotes &amp; Financial News,https://i-invdn-com.investing.com/trkd-images/LYNXMPEK0B0KN_L.jpg,business,en,us,2024-01-12T15:00:51+00:00,4,4
